BinLab	Quality	Kingdom	Phylum	Class	Order	Family	Genus	Species
DonA_bin_92	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella	
DonA_bin_93	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonA_bin_94	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_95	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_96	MAG	d__Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
DonA_bin_97	Bin	d__Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae		
DonA_bin_98	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonA_bin_99	Bin	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Parvibacter	
DonB_bin_1	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_10	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_100	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonB_bin_101	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872	
DonB_bin_102	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_103	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_104	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_105	MAG	d__Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA3700		
DonB_bin_106	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1405	
DonB_bin_107	MAG	d__Bacteria	Firmicutes_B	Dehalobacteriia	UBA4068	UBA5755		
DonB_bin_108	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_109	Bin	NA	NA	NA	NA	NA	NA	NA
DonB_bin_11	MAG	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS966	
DonB_bin_110	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp002428825
DonB_bin_111	Bin	d__Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	UMGS1217	
DonB_bin_112	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonB_bin_113	MAG	d__Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_D	Helicobacter_D ganmani
DonB_bin_114	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonB_bin_115	Bin	d__Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508		
DonB_bin_116	MAG	d__Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae		
